epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,1119.88,0.6459,1.35932,1.14657,0.91338,0.92222,0.94368,0.72123,0.9503,2.1548,1.19553,0.0007228,0.0007228,0.0007228
142,1127.79,0.6637,1.34939,1.13527,0.90575,0.91412,0.94101,0.72618,0.95538,2.05497,1.21442,0.00072082,0.00072082,0.00072082
143,1135.67,0.65474,1.32398,1.14181,0.88802,0.91854,0.88876,0.67526,0.9346,2.04379,1.21166,0.00071884,0.00071884,0.00071884
144,1143.78,0.65711,1.34632,1.16547,0.87924,0.92222,0.88453,0.67935,0.92062,2.098,1.203,0.00071686,0.00071686,0.00071686
145,1151.91,0.68718,1.34243,1.18566,0.89392,0.92222,0.89487,0.68946,0.88644,2.15026,1.18247,0.00071488,0.00071488,0.00071488
146,1159.79,0.64271,1.38996,1.14454,0.87751,0.91284,0.90464,0.71467,0.88953,2.08392,1.14634,0.0007129,0.0007129,0.0007129
147,1167.81,0.60855,1.25783,1.10205,0.86304,0.88113,0.91263,0.70153,0.91964,2.20632,1.13898,0.00071092,0.00071092,0.00071092
148,1175.72,0.67313,1.45716,1.16731,0.85581,0.88561,0.91274,0.7162,0.90977,2.15105,1.11685,0.00070894,0.00070894,0.00070894
149,1183.72,0.6075,1.37269,1.11902,0.87227,0.89722,0.93182,0.70573,0.93059,2.18863,1.12748,0.00070696,0.00070696,0.00070696
150,1191.68,0.63326,1.31365,1.10564,0.85597,0.92222,0.93446,0.71425,0.96645,2.33539,1.17684,0.00070498,0.00070498,0.00070498
151,1199.58,0.65533,1.3555,1.15164,0.81575,0.92222,0.92459,0.70585,0.9615,2.42636,1.20751,0.000703,0.000703,0.000703
152,1207.52,0.62177,1.3171,1.15111,0.89585,0.91245,0.94271,0.70645,0.96881,2.32769,1.23825,0.00070102,0.00070102,0.00070102
153,1215.5,0.63361,1.27551,1.11835,0.91352,0.91808,0.94315,0.71151,0.95855,2.22497,1.20241,0.00069904,0.00069904,0.00069904
154,1223.44,0.62747,1.34517,1.12099,0.87566,0.91322,0.92783,0.71343,0.93761,2.18902,1.16602,0.00069706,0.00069706,0.00069706
155,1231.46,0.68689,1.41399,1.1819,0.87566,0.91021,0.9283,0.7165,0.91225,2.17963,1.13682,0.00069508,0.00069508,0.00069508
156,1239.28,0.61935,1.25988,1.11061,0.88222,0.91013,0.92699,0.71083,0.91447,2.23511,1.16582,0.0006931,0.0006931,0.0006931
157,1247.13,0.60751,1.25427,1.11018,0.86237,0.91726,0.9178,0.6994,0.94296,2.25386,1.18372,0.00069112,0.00069112,0.00069112
158,1255.06,0.64893,1.3115,1.13129,0.8794,0.89722,0.9277,0.69407,1.00187,2.40216,1.20867,0.00068914,0.00068914,0.00068914
159,1262.89,0.66479,1.4091,1.16468,0.86095,0.89668,0.91659,0.68752,0.98642,2.43953,1.19216,0.00068716,0.00068716,0.00068716
160,1270.73,0.64936,1.30887,1.13633,0.86714,0.86944,0.89969,0.67396,1.0089,2.44356,1.21907,0.00068518,0.00068518,0.00068518
161,1278.61,0.65453,1.45503,1.15374,0.85978,0.89444,0.90581,0.66909,0.99952,2.4317,1.19565,0.0006832,0.0006832,0.0006832
162,1286.58,0.64293,1.29189,1.10002,0.85492,0.87463,0.9047,0.68678,0.9639,2.50883,1.18256,0.00068122,0.00068122,0.00068122
163,1294.36,0.62662,1.32192,1.1212,0.83941,0.89996,0.89582,0.6598,0.99026,2.57778,1.20442,0.00067924,0.00067924,0.00067924
164,1302.07,0.70198,1.38229,1.18608,0.84715,0.87313,0.90369,0.67346,0.99987,2.47186,1.22591,0.00067726,0.00067726,0.00067726
165,1309.87,0.63586,1.291,1.12113,0.84436,0.89727,0.91297,0.68943,1.01062,2.4438,1.2374,0.00067528,0.00067528,0.00067528
166,1317.73,0.67585,1.37843,1.18843,0.8543,0.92222,0.91308,0.68641,0.99167,2.32918,1.24915,0.0006733,0.0006733,0.0006733
167,1325.51,0.65331,1.31495,1.15162,0.86558,0.91798,0.91772,0.70392,0.9453,2.33818,1.20648,0.00067132,0.00067132,0.00067132
168,1333.33,0.63142,1.32219,1.13923,0.83376,0.92222,0.91766,0.70783,0.94359,2.14244,1.1995,0.00066934,0.00066934,0.00066934
169,1341.15,0.62404,1.38038,1.1223,0.79752,0.92222,0.90136,0.69311,0.96064,2.2635,1.19174,0.00066736,0.00066736,0.00066736
170,1348.93,0.62928,1.291,1.12548,0.78491,0.92222,0.92154,0.69151,0.96637,2.55712,1.19999,0.00066538,0.00066538,0.00066538
171,1356.73,0.64686,1.31271,1.14812,0.79531,0.92222,0.91597,0.71161,0.90282,2.59994,1.15784,0.0006634,0.0006634,0.0006634
